Movement in iteration: 8053, new cost: 8835996
Movement in iteration: 8166, new cost: 8835511
Movement in iteration: 8328, new cost: 8835175
Movement in iteration: 8329, new cost: 8834813
Movement in iteration: 8343, new cost: 8833348
Movement in iteration: 8357, new cost: 8833127
Movement in iteration: 8358, new cost: 8833023
Movement in iteration: 8374, new cost: 8831843
Movement in iteration: 8388, new cost: 8828447
Movement in iteration: 8458, new cost: 8827795
Movement in iteration: 8488, new cost: 8827509
Movement in iteration: 8513, new cost: 8827217
Movement in iteration: 8516, new cost: 8827031
Movement in iteration: 8517, new cost: 8826155
Movement in iteration: 8519, new cost: 8821343
Movement in iteration: 8532, new cost: 8818835
Movement in iteration: 8533, new cost: 8818663
Movement in iteration: 8713, new cost: 8818047
Movement in iteration: 8764, new cost: 8817130
Movement in iteration: 8794, new cost: 8813482
Movement in iteration: 8954, new cost: 8810666
Movement in iteration: 9001, new cost: 8810510
Movement in iteration: 9025, new cost: 8810426
Movement in iteration: 9199, new cost: 8808057
Movement in iteration: 9219, new cost: 8806056
Movement in iteration: 9229, new cost: 8804771
Movement in iteration: 9258, new cost: 8802353
Movement in iteration: 9330, new cost: 8800622
Movement in iteration: 9502, new cost: 8800488
Movement in iteration: 9507, new cost: 8797726
Movement in iteration: 9634, new cost: 8796557
Movement in iteration: 9646, new cost: 8796348
Movement in iteration: 9648, new cost: 8795428
Movement in iteration: 9650, new cost: 8795361
Movement in iteration: 9651, new cost: 8793033
Movement in iteration: 9827, new cost: 8792078
Movement in iteration: 9924, new cost: 8791984
Movement in iteration: 9925, new cost: 8790320
Movement in iteration: 9939, new cost: 8789472
Movement in iteration: 9954, new cost: 8789330
Movement in iteration: 10069, new cost: 8788835
Movement in iteration: 10083, new cost: 8788053
Movement in iteration: 10098, new cost: 8787525
Movement in iteration: 10113, new cost: 8787163
Movement in iteration: 10135, new cost: 8783305
Movement in iteration: 10201, new cost: 8782085
Movement in iteration: 10214, new cost: 8780251
Movement in iteration: 10231, new cost: 8780185
Movement in iteration: 10242, new cost: 8779054
Movement in iteration: 10359, new cost: 8778573
Movement in iteration: 10361, new cost: 8778417
Movement in iteration: 10362, new cost: 8778087
Movement in iteration: 10373, new cost: 8778003
Movement in iteration: 10374, new cost: 8776715
Movement in iteration: 10423, new cost: 8774365
Movement in iteration: 10474, new cost: 8774038
Movement in iteration: 10502, new cost: 8773551
Movement in iteration: 10505, new cost: 8770859
Movement in iteration: 10506, new cost: 8770405
Movement in iteration: 10519, new cost: 8769669
Movement in iteration: 10567, new cost: 8765846
Movement in iteration: 10621, new cost: 8765098
Movement in iteration: 10916, new cost: 8764564
Movement in iteration: 10938, new cost: 8763448
Movement in iteration: 10953, new cost: 8763250
Movement in iteration: 10983, new cost: 8756998
Movement in iteration: 10999, new cost: 8756891
Movement in iteration: 11146, new cost: 8754989
Movement in iteration: 11199, new cost: 8754661
Movement in iteration: 11213, new cost: 8752445
Movement in iteration: 11225, new cost: 8751945
Movement in iteration: 11228, new cost: 8751563
Movement in iteration: 11241, new cost: 8749431
Movement in iteration: 11356, new cost: 8749126
Movement in iteration: 11371, new cost: 8749088
Movement in iteration: 11512, new cost: 8748823
Movement in iteration: 11513, new cost: 8748761
Movement in iteration: 11655, new cost: 8748253
Movement in iteration: 11658, new cost: 8747969
Movement in iteration: 11672, new cost: 8745933
Movement in iteration: 11803, new cost: 8744981
Movement in iteration: 11817, new cost: 8744017
Movement in iteration: 11834, new cost: 8742178
Movement in iteration: 11921, new cost: 8742122
Movement in iteration: 11933, new cost: 8741940
Movement in iteration: 11946, new cost: 8740948
Movement in iteration: 11959, new cost: 8739424
Movement in iteration: 11960, new cost: 8737872
Movement in iteration: 11977, new cost: 8736890
Movement in iteration: 11990, new cost: 8736242
Movement in iteration: 11992, new cost: 8731004
Movement in iteration: 12090, new cost: 8730049
Movement in iteration: 12106, new cost: 8728883
Movement in iteration: 12193, new cost: 8728588
Movement in iteration: 12207, new cost: 8726678
Movement in iteration: 12249, new cost: 8726606
Movement in iteration: 12364, new cost: 8726474
Movement in iteration: 12365, new cost: 8725706
Movement in iteration: 12367, new cost: 8724470
Movement in iteration: 12378, new cost: 8723698
Movement in iteration: 12379, new cost: 8722376
Movement in iteration: 12522, new cost: 8721980
Movement in iteration: 12664, new cost: 8721864
Movement in iteration: 12666, new cost: 8720556
Movement in iteration: 12796, new cost: 8719388
Movement in iteration: 12809, new cost: 8719314
Movement in iteration: 12810, new cost: 8718387
Movement in iteration: 12983, new cost: 8717949
Movement in iteration: 13098, new cost: 8716613
Movement in iteration: 13215, new cost: 8716460
Movement in iteration: 13373, new cost: 8716444
Movement in iteration: 13501, new cost: 8716004
Movement in iteration: 13514, new cost: 8715914
Movement in iteration: 13689, new cost: 8715834
Movement in iteration: 13692, new cost: 8713095
Movement in iteration: 13703, new cost: 8713091
Movement in iteration: 13817, new cost: 8712291
Movement in iteration: 13848, new cost: 8709722
Movement in iteration: 13947, new cost: 8709133
Movement in iteration: 13948, new cost: 8709121
Movement in iteration: 13950, new cost: 8708880
Movement in iteration: 13961, new cost: 8708456
Movement in iteration: 13962, new cost: 8707574
Movement in iteration: 13970, new cost: 8704756
Movement in iteration: 13973, new cost: 8704686
Movement in iteration: 13979, new cost: 8704528
Movement in iteration: 14090, new cost: 8704446
Movement in iteration: 14091, new cost: 8703603
Movement in iteration: 14265, new cost: 8701415
Movement in iteration: 14275, new cost: 8699877
Movement in iteration: 14277, new cost: 8698305
Movement in iteration: 14279, new cost: 8697597
Movement in iteration: 14394, new cost: 8696427
Movement in iteration: 14426, new cost: 8694338
Movement in iteration: 14541, new cost: 8692960
Movement in iteration: 14669, new cost: 8691700
Movement in iteration: 14684, new cost: 8691518
Movement in iteration: 14812, new cost: 8691395
Movement in iteration: 14825, new cost: 8690845
Movement in iteration: 14826, new cost: 8690721
Movement in iteration: 14827, new cost: 8689059
Movement in iteration: 14841, new cost: 8688225
Movement in iteration: 14970, new cost: 8688041
Movement in iteration: 14997, new cost: 8685265
Movement in iteration: 15012, new cost: 8680715
Movement in iteration: 15143, new cost: 8679779
Movement in iteration: 15401, new cost: 8676532
Movement in iteration: 15515, new cost: 8676382
Movement in iteration: 15516, new cost: 8675962
Movement in iteration: 15657, new cost: 8673064
Movement in iteration: 15687, new cost: 8672572
Movement in iteration: 15816, new cost: 8672322
Movement in iteration: 15848, new cost: 8670100
Movement in iteration: 15958, new cost: 8669880
Movement in iteration: 16131, new cost: 8669470
Movement in iteration: 16132, new cost: 8669316
Movement in iteration: 16274, new cost: 8669170
Movement in iteration: 16684, new cost: 8669084
Movement in iteration: 16685, new cost: 8668452
Movement in iteration: 16687, new cost: 8666497
Movement in iteration: 16812, new cost: 8665452
Movement in iteration: 16953, new cost: 8664867
Movement in iteration: 17106, new cost: 8663782
Movement in iteration: 17107, new cost: 8663612
Movement in iteration: 17247, new cost: 8662030
Movement in iteration: 17248, new cost: 8661018
Movement in iteration: 17390, new cost: 8658234
Movement in iteration: 17517, new cost: 8658115
Movement in iteration: 17531, new cost: 8657902
Movement in iteration: 17672, new cost: 8656507
Movement in iteration: 17953, new cost: 8655612
Movement in iteration: 17954, new cost: 8655434
Movement in iteration: 18080, new cost: 8654632
Movement in iteration: 18093, new cost: 8654438
Movement in iteration: 18208, new cost: 8654414
Movement in iteration: 18232, new cost: 8651954
Movement in iteration: 18347, new cost: 8651512
Movement in iteration: 18373, new cost: 8651206
Movement in iteration: 18638, new cost: 8650115
Movement in iteration: 18652, new cost: 8649034
Movement in iteration: 18790, new cost: 8648964
Movement in iteration: 18916, new cost: 8648459
Movement in iteration: 18930, new cost: 8648203
Movement in iteration: 19169, new cost: 8648079
Movement in iteration: 19170, new cost: 8647749
Movement in iteration: 19193, new cost: 8647457
Movement in iteration: 19207, new cost: 8647068
Movement in iteration: 19208, new cost: 8646250
Movement in iteration: 19292, new cost: 8645807
Movement in iteration: 20026, new cost: 8645647
Movement in iteration: 20093, new cost: 8641651
Movement in iteration: 20112, new cost: 8641635
Movement in iteration: 20665, new cost: 8641285
Movement in iteration: 20800, new cost: 8640591
Movement in iteration: 21054, new cost: 8640125
Movement in iteration: 21059, new cost: 8639743
Movement in iteration: 21457, new cost: 8638852
Movement in iteration: 21583, new cost: 8638616
Movement in iteration: 21695, new cost: 8638225
Movement in iteration: 21836, new cost: 8638185
Movement in iteration: 21862, new cost: 8637457
Movement in iteration: 21872, new cost: 8635890
Movement in iteration: 21945, new cost: 8635802
Movement in iteration: 22073, new cost: 8634659
Movement in iteration: 22074, new cost: 8634125
Movement in iteration: 22199, new cost: 8632230
Movement in iteration: 22213, new cost: 8631832
Movement in iteration: 22450, new cost: 8631254
Movement in iteration: 22452, new cost: 8629535
Movement in iteration: 22463, new cost: 8629405
Movement in iteration: 22464, new cost: 8628757
Movement in iteration: 22699, new cost: 8628172
Movement in iteration: 22959, new cost: 8627805
Movement in iteration: 23014, new cost: 8626271
Movement in iteration: 23204, new cost: 8624660
Movement in iteration: 23259, new cost: 8622346
Movement in iteration: 23326, new cost: 8621712
Movement in iteration: 23424, new cost: 8621632
Movement in iteration: 23569, new cost: 8621585
Movement in iteration: 23570, new cost: 8620179
Movement in iteration: 23581, new cost: 8619240
Movement in iteration: 23594, new cost: 8619158
Movement in iteration: 23671, new cost: 8616406
Movement in iteration: 23679, new cost: 8616387
Movement in iteration: 23948, new cost: 8614410
Movement in iteration: 24154, new cost: 8613832
Movement in iteration: 24296, new cost: 8613101
Movement in iteration: 24402, new cost: 8612981
Movement in iteration: 24655, new cost: 8612787
Movement in iteration: 24667, new cost: 8612554
Movement in iteration: 24904, new cost: 8611974
