Movement in iteration: 7879, new cost: 8865760
Movement in iteration: 7880, new cost: 8862107
Movement in iteration: 7886, new cost: 8859053
Movement in iteration: 7901, new cost: 8858284
Movement in iteration: 7916, new cost: 8857188
Movement in iteration: 7917, new cost: 8854892
Movement in iteration: 7930, new cost: 8854380
Movement in iteration: 7932, new cost: 8853946
Movement in iteration: 7933, new cost: 8853102
Movement in iteration: 7943, new cost: 8851870
Movement in iteration: 7945, new cost: 8850066
Movement in iteration: 7947, new cost: 8849672
Movement in iteration: 7967, new cost: 8842572
Movement in iteration: 7978, new cost: 8841696
Movement in iteration: 7979, new cost: 8837870
Movement in iteration: 8050, new cost: 8835202
Movement in iteration: 8065, new cost: 8834422
Movement in iteration: 8140, new cost: 8832141
Movement in iteration: 8258, new cost: 8831934
Movement in iteration: 8286, new cost: 8830010
Movement in iteration: 8302, new cost: 8829382
Movement in iteration: 8318, new cost: 8829358
Movement in iteration: 8331, new cost: 8828620
Movement in iteration: 8345, new cost: 8828296
Movement in iteration: 8360, new cost: 8827128
Movement in iteration: 8362, new cost: 8825816
Movement in iteration: 8375, new cost: 8824322
Movement in iteration: 8493, new cost: 8823465
Movement in iteration: 8655, new cost: 8823055
Movement in iteration: 8656, new cost: 8822169
Movement in iteration: 8671, new cost: 8821583
Movement in iteration: 8804, new cost: 8820979
Movement in iteration: 8952, new cost: 8818286
Movement in iteration: 8953, new cost: 8817502
Movement in iteration: 8969, new cost: 8816788
Movement in iteration: 8971, new cost: 8816486
Movement in iteration: 9014, new cost: 8813297
Movement in iteration: 9116, new cost: 8812556
Movement in iteration: 9117, new cost: 8810668
Movement in iteration: 9130, new cost: 8810437
Movement in iteration: 9233, new cost: 8810133
Movement in iteration: 9247, new cost: 8808365
Movement in iteration: 9277, new cost: 8808329
Movement in iteration: 9412, new cost: 8807311
Movement in iteration: 9426, new cost: 8804657
Movement in iteration: 9577, new cost: 8802603
Movement in iteration: 9620, new cost: 8802255
Movement in iteration: 9634, new cost: 8802211
Movement in iteration: 9635, new cost: 8799177
Movement in iteration: 9677, new cost: 8798439
Movement in iteration: 9839, new cost: 8798205
Movement in iteration: 9869, new cost: 8797687
Movement in iteration: 9871, new cost: 8791777
Movement in iteration: 9974, new cost: 8791509
Movement in iteration: 9988, new cost: 8789915
Movement in iteration: 10255, new cost: 8789719
Movement in iteration: 10269, new cost: 8789505
Movement in iteration: 10283, new cost: 8788779
Movement in iteration: 10401, new cost: 8787209
Movement in iteration: 10476, new cost: 8785323
Movement in iteration: 10489, new cost: 8783739
Movement in iteration: 10563, new cost: 8783621
Movement in iteration: 10577, new cost: 8783271
Movement in iteration: 10593, new cost: 8781715
Movement in iteration: 10723, new cost: 8780275
Movement in iteration: 10739, new cost: 8778615
Movement in iteration: 11162, new cost: 8777304
Movement in iteration: 11163, new cost: 8776152
Movement in iteration: 11281, new cost: 8776072
Movement in iteration: 11322, new cost: 8774960
Movement in iteration: 11324, new cost: 8773584
Movement in iteration: 11412, new cost: 8773251
Movement in iteration: 11438, new cost: 8773077
Movement in iteration: 11450, new cost: 8772355
Movement in iteration: 11451, new cost: 8772067
Movement in iteration: 11452, new cost: 8771877
Movement in iteration: 11612, new cost: 8770967
Movement in iteration: 11700, new cost: 8770102
Movement in iteration: 11727, new cost: 8769932
Movement in iteration: 11862, new cost: 8768800
Movement in iteration: 12033, new cost: 8768048
Movement in iteration: 12049, new cost: 8767824
Movement in iteration: 12055, new cost: 8767020
Movement in iteration: 12062, new cost: 8766436
Movement in iteration: 12080, new cost: 8763740
Movement in iteration: 12164, new cost: 8763164
Movement in iteration: 12176, new cost: 8762612
Movement in iteration: 12177, new cost: 8762138
Movement in iteration: 12193, new cost: 8760872
Movement in iteration: 12322, new cost: 8760268
Movement in iteration: 12328, new cost: 8759708
Movement in iteration: 12338, new cost: 8757564
Movement in iteration: 12451, new cost: 8756892
Movement in iteration: 12452, new cost: 8755647
Movement in iteration: 12613, new cost: 8754787
Movement in iteration: 12642, new cost: 8754691
Movement in iteration: 12643, new cost: 8753785
Movement in iteration: 12789, new cost: 8753021
Movement in iteration: 12931, new cost: 8750405
Movement in iteration: 13045, new cost: 8750240
Movement in iteration: 13059, new cost: 8749507
Movement in iteration: 13061, new cost: 8749424
Movement in iteration: 13062, new cost: 8749314
Movement in iteration: 13076, new cost: 8748306
Movement in iteration: 13077, new cost: 8743274
Movement in iteration: 13192, new cost: 8742487
Movement in iteration: 13200, new cost: 8741103
Movement in iteration: 13236, new cost: 8740171
Movement in iteration: 13327, new cost: 8738375
Movement in iteration: 13482, new cost: 8737731
Movement in iteration: 13495, new cost: 8729133
Movement in iteration: 13499, new cost: 8723877
Movement in iteration: 13642, new cost: 8723751
Movement in iteration: 13662, new cost: 8721089
Movement in iteration: 13757, new cost: 8720545
Movement in iteration: 13759, new cost: 8720461
Movement in iteration: 13773, new cost: 8719967
Movement in iteration: 13877, new cost: 8719652
Movement in iteration: 13878, new cost: 8719636
Movement in iteration: 13903, new cost: 8718690
Movement in iteration: 13916, new cost: 8718322
Movement in iteration: 13917, new cost: 8717460
Movement in iteration: 13918, new cost: 8716962
Movement in iteration: 13919, new cost: 8716065
Movement in iteration: 13933, new cost: 8714869
Movement in iteration: 13950, new cost: 8712497
Movement in iteration: 14077, new cost: 8711221
Movement in iteration: 14205, new cost: 8709587
Movement in iteration: 14207, new cost: 8708885
Movement in iteration: 14222, new cost: 8708615
Movement in iteration: 14238, new cost: 8706983
Movement in iteration: 14242, new cost: 8706845
Movement in iteration: 14352, new cost: 8704938
Movement in iteration: 14384, new cost: 8702874
Movement in iteration: 14386, new cost: 8702029
Movement in iteration: 14613, new cost: 8701876
Movement in iteration: 14641, new cost: 8701628
Movement in iteration: 14759, new cost: 8700783
Movement in iteration: 14928, new cost: 8700411
Movement in iteration: 14929, new cost: 8699557
Movement in iteration: 15059, new cost: 8699476
Movement in iteration: 15188, new cost: 8698656
Movement in iteration: 15216, new cost: 8697242
Movement in iteration: 15361, new cost: 8696313
Movement in iteration: 15505, new cost: 8695018
Movement in iteration: 15806, new cost: 8694502
Movement in iteration: 15920, new cost: 8694021
Movement in iteration: 16053, new cost: 8693949
Movement in iteration: 16191, new cost: 8693685
Movement in iteration: 16193, new cost: 8693677
Movement in iteration: 16310, new cost: 8693404
Movement in iteration: 16361, new cost: 8692922
Movement in iteration: 16363, new cost: 8691392
Movement in iteration: 16364, new cost: 8690908
Movement in iteration: 16493, new cost: 8690560
Movement in iteration: 16509, new cost: 8689646
Movement in iteration: 16650, new cost: 8688016
Movement in iteration: 16651, new cost: 8686516
Movement in iteration: 16663, new cost: 8685694
Movement in iteration: 16664, new cost: 8684761
Movement in iteration: 16665, new cost: 8683997
Movement in iteration: 16921, new cost: 8682592
Movement in iteration: 16951, new cost: 8681862
Movement in iteration: 17063, new cost: 8681842
Movement in iteration: 17092, new cost: 8679616
Movement in iteration: 17218, new cost: 8679220
Movement in iteration: 17220, new cost: 8679144
Movement in iteration: 17235, new cost: 8676981
Movement in iteration: 17376, new cost: 8674901
Movement in iteration: 17503, new cost: 8673912
Movement in iteration: 17786, new cost: 8673299
Movement in iteration: 17788, new cost: 8672005
Movement in iteration: 17912, new cost: 8671973
Movement in iteration: 18169, new cost: 8670129
Movement in iteration: 18347, new cost: 8669901
Movement in iteration: 18422, new cost: 8669647
Movement in iteration: 18449, new cost: 8669455
Movement in iteration: 18462, new cost: 8669403
Movement in iteration: 18473, new cost: 8668386
Movement in iteration: 18474, new cost: 8667915
Movement in iteration: 18488, new cost: 8667676
Movement in iteration: 18490, new cost: 8667581
Movement in iteration: 18628, new cost: 8667337
Movement in iteration: 18629, new cost: 8666585
Movement in iteration: 18753, new cost: 8666429
Movement in iteration: 18768, new cost: 8666065
Movement in iteration: 18884, new cost: 8664681
Movement in iteration: 18909, new cost: 8664259
Movement in iteration: 19162, new cost: 8663539
Movement in iteration: 19169, new cost: 8663474
Movement in iteration: 19186, new cost: 8663142
Movement in iteration: 19312, new cost: 8662210
Movement in iteration: 19603, new cost: 8658665
Movement in iteration: 19735, new cost: 8657218
Movement in iteration: 19864, new cost: 8656969
Movement in iteration: 19965, new cost: 8656460
Movement in iteration: 20005, new cost: 8656182
Movement in iteration: 20007, new cost: 8655551
Movement in iteration: 20278, new cost: 8655463
Movement in iteration: 20279, new cost: 8655123
Movement in iteration: 20280, new cost: 8653601
Movement in iteration: 20551, new cost: 8652945
Movement in iteration: 20798, new cost: 8652049
Movement in iteration: 20812, new cost: 8651825
Movement in iteration: 20959, new cost: 8651000
Movement in iteration: 21226, new cost: 8650811
Loop ended because of the temperature
